Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,won jin,진짜 눈물겹다. 제발 대선에서도 똑같이 보여주길... 제발 다음정부 이렇지않기를.....,2일 전,채널A 뉴스,2.6천,56,0
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,한라봉,ㄹㅇ 사십대 콘크리트.. 어이가없죵,2주 전,채널A 뉴스,2.6천,56,3
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,천장지구,와20대가 저런걸 알고있다니 사탕인줄 알고있구나 아 더이상 원한이없다,2주 전,채널A 뉴스,2.6천,56,7
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,길손이,0:33 여기서부터 소름진짜 야당은 이 장면 소장했다가 두고두고 되새겨라,2주 전,채널A 뉴스,2.6천,56,23
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,정우,3:23 메이플 왕토 아닌가?메이플 간담회 가서도 운영진들 개박살 내고 왔는데 여기서도 그저 빛이 나네,1주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,ᄋᄋ,민심 진짜 줜나 무삽네ㅋㅋㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,in hyun soo s,180석으로 밀어붙힌거 ㄹㅇㅋㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Patrick,이렇게 나라 개박살낼꺼 알았으면 걍 순실이 누나 걍 앉혀놓고 모른척 하고 있었는게 나을뻔....,2주 전,채널A 뉴스,2.6천,56,15
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,오유택,국민의 현명함!,2주 전,채널A 뉴스,2.6천,56,44
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,pop ᄋ6,지금 20대가 모든세대 통틀어서 제일 똑똑하다,2주 전,채널A 뉴스,2.6천,56,6
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,렐케,이번 걸로 안심하기 힘든게 지금 3년만에 부채가 2000조야......,2주 전,채널A 뉴스,2.6천,56,11
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,정병호,누가 잘했나 못했나가 아니라누가 덜 못했나로 구별되는 이 나라가 슬프다 진짜,1주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,멍깜야꼬,솔까 그동안 정치에 신경안쓰던 사람들까지 정치에 신경쓰게 만들어놨음,1주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,윤이,2030 남자들! 훌륭하다 나도 29살,2주 전,채널A 뉴스,2.6천,56,61
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Navel,3:57 돌직구 ㅋㅋㅋㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,호재,아직 안끝났어요 대선때 또봅시다,1주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Timmy Kim,전지현 변호사님 말씀 겁나 잘하시넼ㅋㅋㅋ 어우 시원해요...,1주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,신현국,오세훈의   진정한가슴을    알아본  사람들이   참   대단하네,2주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,정원재,최진봉성공회대교수답네,2주 전,채널A 뉴스,2.6천,56,61
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Haru Yache,0:55 핵심,2주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,이현주,청년이힘입니다,2주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,낭비,"3:20 빛토,,,,",1주 전,채널A 뉴스,2.6천,56,0
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,박성진,이래서 한번씩 물갈이 해줘여함 ㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Sung Kim,20대 남성의 분노를 보며... 조국이나 LH등의 문제로 인한 분노도 분명하지만... 난 그들이 페미에도 분노했다고 본다.,2주 전,채널A 뉴스,2.6천,56,199
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,허아몬드,멋지다 20대~~,2주 전,채널A 뉴스,2.6천,56,59
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,이지현,정확히는 20대 여자를 제외한 2030분노지 급진페미들한테 15%나 뺏겨도 민주당 44% 지지로 40대 남자와 더불어서 민주당에 표를 더 준게 20대 여자들인데 2030분노에 20대 여자까지 묶어버리는건 아니지,2주 전,채널A 뉴스,2.6천,56,110
